code,DESCRIPCION,STOCK,UBICACION,ALMACEN,ACTIVIDAD,COD.PROV,PRECIO,PROVEEDOR,PEDIR,,Almacén,,categoria,alamcen
1 - 0  3  9,CODO en PVC Evacuación Ø 75 x 87º,,1    -       -        -  ,,,,,,1-039,1,Fontanería,Fontanería,Fontanería,1
1 - 0  4  0,CODO en PVC Evacuación Ø 63 x 87º,,1    -       -        -  ,,,,,,1-040,1,Fontanería,Fontanería,Fontanería,1
1 - 0  4  1,CODO en PVC Evacuación Ø 50 x 87º,,1    -       -        -  ,,,,,,1-041,1,Fontanería,Fontanería,Fontanería,1
1 - 0  4  2,CODO en PVC Evacuación Ø 40 x 87º,,1    -       -        -  ,,,,,,1-042,1,Fontanería,Fontanería,Fontanería,1
1 - 0  4  3,CODO en PVC Evacuación Ø 32 x 87º,,1    -       -        -  ,,,,,,1-043,1,Fontanería,Fontanería,Fontanería,1
1 - 0  4  4,CODO en PVC Evacuación Ø 125 x 67º,,1    -       -        -  ,,,,,,1-044,1,Fontanería,Fontanería,Fontanería,1
1 - 0  4  5,CODO en PVC Evacuación Ø 110 x 67º,,1    -       -        -  ,,,,,,1-045,1,Fontanería,Fontanería,Fontanería,1
1 - 0  4  6,CODO en PVC Evacuación Ø 90 x 67º,,1    -       -        -  ,,,,,,1-046,1,Fontanería,Fontanería,Fontanería,1
1 - 0  4  7,CODO en PVC Evacuación Ø 75 x 67º,,1    -       -        -  ,,,,,,1-047,1,Fontanería,Fontanería,Fontanería,1
1 - 0  4  8,CODO en PVC Evacuación Ø 63 x 67º,,1    -       -        -  ,,,,,,1-048,1,Fontanería,Fontanería,Fontanería,1
1 - 0  4  9,CODO en PVC Evacuación Ø 50 x 67º,,1    -       -        -  ,,,,,,1-049,1,Fontanería,Fontanería,Fontanería,1
1 - 0  5  0,CODO en PVC Evacuación Ø 40 x 67º,,1    -       -        -  ,,,,,,1-050,1,Fontanería,Fontanería,Fontanería,1
1 - 0  5  1,CODO en PVC Evacuación Ø 32 x 67º,,1    -       -        -  ,,,,,,1-051,1,Fontanería,Fontanería,Fontanería,1
1 - 0  5  2,CODO en PVC Evacuación Ø 125 x 45º,,1    -       -        -  ,,,,,,1-052,1,Fontanería,Fontanería,Fontanería,1
1 - 0  5  3,CODO en PVC Evacuación Ø 110 x 45º,,1    -       -        -  ,,,,,,1-053,1,Fontanería,Fontanería,Fontanería,1
1 - 0  5  4,CODO en PVC Evacuación Ø 90 x 45º,,1    -       -        -  ,,,,,,1-054,1,Fontanería,Fontanería,Fontanería,1
1 - 0  5  5,CODO en PVC Evacuación Ø 75 x 45º,,1    -       -        -  ,,,,,,1-055,1,Fontanería,Fontanería,Fontanería,1
1 - 0  5  6,CODO en PVC Evacuación Ø 63 x 45º,,1    -       -        -  ,,,,,,1-056,1,Fontanería,Fontanería,Fontanería,1
1 - 0  5  7,CODO en PVC Evacuación Ø 50 x 45º,,1    -       -        -  ,,,,,,1-057,1,Fontanería,Fontanería,Fontanería,1
1 - 0  5  8,CODO en PVC Evacuación Ø 40 x 45º,,1    -       -        -  ,,,,,,1-058,1,Fontanería,Fontanería,Fontanería,1
1 - 0  5  9,CODO en PVC Evacuación Ø 32 x 45º,,1    -       -        -  ,,,,,,1-059,1,Fontanería,Fontanería,Fontanería,1
1 - 0  6  0,MANGUITO en PVC Evacuación Ø 125,,1    -       -        -  ,,,,,,1-060,1,Fontanería,Fontanería,Fontanería,1
1 - 0  6  1,MANGUITO en PVC Evacuación Ø 110,,1    -       -        -  ,,,,,,1-061,1,Fontanería,Fontanería,Fontanería,1
1 - 0  6  2,MANGUITO en PVC Evacuación Ø 90,,1    -       -        -  ,,,,,,1-062,1,Fontanería,Fontanería,Fontanería,1
1 - 0  6  3,MANGUITO en PVC Evacuación Ø 75,,1    -       -        -  ,,,,,,1-063,1,Fontanería,Fontanería,Fontanería,1
1 - 0  6  4,MANGUITO en PVC Evacuación Ø 63,,1    -       -        -  ,,,,,,1-064,1,Fontanería,Fontanería,Fontanería,1
1 - 0  6  5,MANGUITO en PVC Evacuación Ø 50,,1    -       -        -  ,,,,,,1-065,1,Fontanería,Fontanería,Fontanería,1
1 - 0  6  6,MANGUITO en PVC Evacuación Ø 40,,1    -       -        -  ,,,,,,1-066,1,Fontanería,Fontanería,Fontanería,1
1 - 0  6  7,MANGUITO en PVC Evacuación Ø 32,,1    -       -        -  ,,,,,,1-067,1,Fontanería,Fontanería,Fontanería,1
1 - 0  6  8,"CODO en LATÓN Ø 125 3"" H - H",,1    -       -        -  ,,,,,,1-068,1,Fontanería,Fontanería,Fontanería,1
1 - 0  6  9,"CODO en LATÓN Ø 110 3"" H - H",,1    -       -        -  ,,,,,,1-069,1,Fontanería,Fontanería,Fontanería,1
1 - 0  7  0,"CODO en LATÓN Ø 90 3"" H - H",,1    -       -        -  ,,,,,,1-070,1,Fontanería,Fontanería,Fontanería,1
1 - 0  7  1,"CODO en LATÓN Ø 75 3"" H - H",,1    -       -        -  ,,,,,,1-071,1,Fontanería,Fontanería,Fontanería,1
1 - 0  7  2,"CODO en LATÓN Ø 63 3"" H - H",,1    -       -        -  ,,,,,,1-072,1,Fontanería,Fontanería,Fontanería,1
1 - 0  7  3,"CODO en LATÓN Ø 50 3"" H - H",,1    -       -        -  ,,,,,,1-073,1,Fontanería,Fontanería,Fontanería,1
1 - 0  7  4,"CODO en LATÓN Ø 40 3"" H - H",,1    -       -        -  ,,,,,,1-074,1,Fontanería,Fontanería,Fontanería,1
1 - 0  7  5,"CODO en LATÓN Ø 32 3"" H - H",,1    -       -        -  ,,,,,,1-075,1,Fontanería,Fontanería,Fontanería,1
1 - 0  7  6,"CODO en LATÓN Ø 125 2 1/2"" H - H",,1    -       -        -  ,,,,,,1-076,1,Fontanería,Fontanería,Fontanería,1
1 - 0  7  7,"CODO en LATÓN Ø 110 2 1/2"" H - H",,1    -       -        -  ,,,,,,1-077,1,Fontanería,Fontanería,Fontanería,1
1 - 0  7  8,"CODO en LATÓN Ø 90 2 1/2"" H - H",,1    -       -        -  ,,,,,,1-078,1,Fontanería,Fontanería,Fontanería,1
1 - 0  7  9,"CODO en LATÓN Ø 75 2 1/2"" H - H",,1    -       -        -  ,,,,,,1-079,1,Fontanería,Fontanería,Fontanería,1
1 - 0  8  0,"CODO en LATÓN Ø 63 2 1/2"" H - H",,1    -       -        -  ,,,,,,1-080,1,Fontanería,Fontanería,Fontanería,1
1 - 0  8  1,"CODO en LATÓN Ø 50 2 1/2"" H - H",,1    -       -        -  ,,,,,,1-081,1,Fontanería,Fontanería,Fontanería,1
1 - 0  8  2,"CODO en LATÓN Ø 40 2 1/2"" H - H",,1    -       -        -  ,,,,,,1-082,1,Fontanería,Fontanería,Fontanería,1
1 - 0  8  3,"CODO en LATÓN Ø 32 2 1/2"" H - H",,1    -       -        -  ,,,,,,1-083,1,Fontanería,Fontanería,Fontanería,1
1 - 0  8  4,"CODO en LATÓN Ø 125 2"" H - H",,1    -       -        -  ,,,,,,1-084,1,Fontanería,Fontanería,Fontanería,1
1 - 0  8  5,"CODO en LATÓN Ø 110 2"" H - H",,1    -       -        -  ,,,,,,1-085,1,Fontanería,Fontanería,Fontanería,1
1 - 0  8  6,"CODO en LATÓN Ø 90 2"" H - H",,1    -       -        -  ,,,,,,1-086,1,Fontanería,Fontanería,Fontanería,1
1 - 0  8  7,"CODO en LATÓN Ø 75 2"" H - H",,1    -       -        -  ,,,,,,1-087,1,Fontanería,Fontanería,Fontanería,1
1 - 0  8  8,"CODO en LATÓN Ø 63 2"" H - H",,1    -       -        -  ,,,,,,1-088,1,Fontanería,Fontanería,Fontanería,1
1 - 0  8  9,"CODO en LATÓN Ø 50 2"" H - H",,1    -       -        -  ,,,,,,1-089,1,Fontanería,Fontanería,Fontanería,1
1 - 0  9  0,"CODO en LATÓN Ø 40 2"" H - H",,1    -       -        -  ,,,,,,1-090,1,Fontanería,Fontanería,Fontanería,1
1 - 0  9  1,"CODO en LATÓN Ø 32 2"" H - H",,1    -       -        -  ,,,,,,1-091,1,Fontanería,Fontanería,Fontanería,1
1 - 0  9  2,"CODO en LATÓN Ø 125 1 1/2"" H - H",,1    -       -        -  ,,,,,,1-092,1,Fontanería,Fontanería,Fontanería,1
1 - 0  9  3,"CODO en LATÓN Ø 110 1 1/2"" H - H",,1    -       -        -  ,,,,,,1-093,1,Fontanería,Fontanería,Fontanería,1
1 - 0  9  4,"CODO en LATÓN Ø 90 1 1/2"" H - H",,1    -       -        -  ,,,,,,1-094,1,Fontanería,Fontanería,Fontanería,1
1 - 0  9  5,"CODO en LATÓN Ø 75 1 1/2"" H - H",,1    -       -        -  ,,,,,,1-095,1,Fontanería,Fontanería,Fontanería,1
1 - 0  9  6,"CODO en LATÓN Ø 63 1 1/2"" H - H",,1    -       -        -  ,,,,,,1-096,1,Fontanería,Fontanería,Fontanería,1
1 - 0  9  7,"CODO en LATÓN Ø 50 1 1/2"" H - H",,1    -       -        -  ,,,,,,1-097,1,Fontanería,Fontanería,Fontanería,1
1 - 0  9  8,"CODO en LATÓN Ø 40 1 1/2"" H - H",,1    -       -        -  ,,,,,,1-098,1,Fontanería,Fontanería,Fontanería,1
1 - 0  9  9,"CODO en LATÓN Ø 32 1 1/2"" H - H",,1    -       -        -  ,,,,,,1-099,1,Fontanería,Fontanería,Fontanería,1
1 - 1  0  0,"CODO en LATÓN Ø 125 1 1/4"" H - H",,1    -       -        -  ,,,,,,1-100,1,Fontanería,Fontanería,Fontanería,1
1 - 1  0  1,"CODO en LATÓN Ø 110 1 1/4"" H - H",,1    -       -        -  ,,,,,,1-101,1,Fontanería,Fontanería,Fontanería,1
1 - 1  0  2,"CODO en LATÓN Ø 90 1 1/4"" H - H",,1    -       -        -  ,,,,,,1-102,1,Fontanería,Fontanería,Fontanería,1
1 - 1  0  3,"CODO en LATÓN Ø 75 1 1/4"" H - H",,1    -       -        -  ,,,,,,1-103,1,Fontanería,Fontanería,Fontanería,1
1 - 1  0  4,"CODO en LATÓN Ø 63 1 1/4"" H - H",,1    -       -        -  ,,,,,,1-104,1,Fontanería,Fontanería,Fontanería,1
1 - 1  0  5,"CODO en LATÓN Ø 50 1 1/4"" H - H",,1    -       -        -  ,,,,,,1-105,1,Fontanería,Fontanería,Fontanería,1
1 - 1  0  6,"CODO en LATÓN Ø 40 1 1/4"" H - H",,1    -       -        -  ,,,,,,1-106,1,Fontanería,Fontanería,Fontanería,1
1 - 1  0  7,"CODO en LATÓN Ø 32 1 1/4"" H - H",,1    -       -        -  ,,,,,,1-107,1,Fontanería,Fontanería,Fontanería,1
1 - 1  0  8,"CODO en LATÓN Ø 125 1"" H - H",,1    -       -        -  ,,,,,,1-108,1,Fontanería,Fontanería,Fontanería,1
1 - 1  0  9,"CODO en LATÓN Ø 110 1"" H - H",,1    -       -        -  ,,,,,,1-109,1,Fontanería,Fontanería,Fontanería,1
1 - 1  1  0,"CODO en LATÓN Ø 90 1"" H - H",,1    -       -        -  ,,,,,,1-110,1,Fontanería,Fontanería,Fontanería,1
1 - 1  1  1,"CODO en LATÓN Ø 75 1"" H - H",,1    -       -        -  ,,,,,,1-111,1,Fontanería,Fontanería,Fontanería,1
1 - 1  1  2,"CODO en LATÓN Ø 63 1"" H - H",,1    -       -        -  ,,,,,,1-112,1,Fontanería,Fontanería,Fontanería,1
1 - 1  1  3,"CODO en LATÓN Ø 50 1"" H - H",,1    -       -        -  ,,,,,,1-113,1,Fontanería,Fontanería,Fontanería,1
1 - 1  1  4,"CODO en LATÓN Ø 40 1"" H - H",,1    -       -        -  ,,,,,,1-114,1,Fontanería,Fontanería,Fontanería,1
1 - 1  1  5,"CODO en LATÓN Ø 32 1"" H - H",,1    -       -        -  ,,,,,,1-115,1,Fontanería,Fontanería,Fontanería,1
1 - 1  1  6,"CODO en LATÓN Ø 125 3/4"" H - H",,1    -       -        -  ,,,,,,1-116,1,Fontanería,Fontanería,Fontanería,1
1 - 1  1  7,"CODO en LATÓN Ø 110 3/4"" H - H",,1    -       -        -  ,,,,,,1-117,1,Fontanería,Fontanería,Fontanería,1
1 - 1  1  8,"CODO en LATÓN Ø 90 3/4"" H - H",,1    -       -        -  ,,,,,,1-118,1,Fontanería,Fontanería,Fontanería,1
1 - 1  1  9,"CODO en LATÓN Ø 75 3/4"" H - H",,1    -       -        -  ,,,,,,1-119,1,Fontanería,Fontanería,Fontanería,1
1 - 1  2  0,"CODO en LATÓN Ø 63 3/4"" H - H",,1    -       -        -  ,,,,,,1-120,1,Fontanería,Fontanería,Fontanería,1
1 - 1  2  1,"CODO en LATÓN Ø 50 3/4"" H - H",,1    -       -        -  ,,,,,,1-121,1,Fontanería,Fontanería,Fontanería,1
1 - 1  2  2,"CODO en LATÓN Ø 40 3/4"" H - H",,1    -       -        -  ,,,,,,1-122,1,Fontanería,Fontanería,Fontanería,1
1 - 1  2  3,"CODO en LATÓN Ø 32 3/4"" H - H",,1    -       -        -  ,,,,,,1-123,1,Fontanería,Fontanería,Fontanería,1
1 - 1  2  4,"CODO en LATÓN Ø 125 1/2"" H - H",,1    -       -        -  ,,,,,,1-124,1,Fontanería,Fontanería,Fontanería,1
1 - 1  2  5,"CODO en LATÓN Ø 110 1/2"" H - H",,1    -       -        -  ,,,,,,1-125,1,Fontanería,Fontanería,Fontanería,1
1 - 1  2  6,"CODO en LATÓN Ø 90 1/2"" H - H",,1    -       -        -  ,,,,,,1-126,1,Fontanería,Fontanería,Fontanería,1
1 - 1  2  7,"CODO en LATÓN Ø 75 1/2"" H - H",,1    -       -        -  ,,,,,,1-127,1,Fontanería,Fontanería,Fontanería,1
1 - 1  2  8,"CODO en LATÓN Ø 63 1/2"" H - H",,1    -       -        -  ,,,,,,1-128,1,Fontanería,Fontanería,Fontanería,1
1 - 1  2  9,"CODO en LATÓN Ø 50 1/2"" H - H",,1    -       -        -  ,,,,,,1-129,1,Fontanería,Fontanería,Fontanería,1
1 - 1  3  0,"CODO en LATÓN Ø 40 1/2"" H - H",,1    -       -        -  ,,,,,,1-130,1,Fontanería,Fontanería,Fontanería,1
1 - 1  3  1,"CODO en LATÓN Ø 32 1/2"" H - H",,1    -       -        -  ,,,,,,1-131,1,Fontanería,Fontanería,Fontanería,1
1 - 1  3  2,"CODO en LATÓN Ø 125 3/8"" H - H",,1    -       -        -  ,,,,,,1-132,1,Fontanería,Fontanería,Fontanería,1
1 - 1  3  3,"CODO en LATÓN Ø 110 3/8"" H - H",,1    -       -        -  ,,,,,,1-133,1,Fontanería,Fontanería,Fontanería,1
1 - 1  3  4,"CODO en LATÓN Ø 90 3/8"" H - H",,1    -       -        -  ,,,,,,1-134,1,Fontanería,Fontanería,Fontanería,1
1 - 1  3  5,"CODO en LATÓN Ø 75 3/8"" H - H",,1    -       -        -  ,,,,,,1-135,1,Fontanería,Fontanería,Fontanería,1
1 - 1  3  6,"CODO en LATÓN Ø 63 3/8"" H - H",,1    -       -        -  ,,,,,,1-136,1,Fontanería,Fontanería,Fontanería,1
1 - 1  3  7,"CODO en LATÓN Ø 50 3/8"" H - H",,1    -       -        -  ,,,,,,1-137,1,Fontanería,Fontanería,Fontanería,1
1 - 1  3  8,"CODO en LATÓN Ø 40 3/8"" H - H",,1    -       -        -  ,,,,,,1-138,1,Fontanería,Fontanería,Fontanería,1
1 - 1  3  9,"CODO en LATÓN Ø 32 3/8"" H - H",,1    -       -        -  ,,,,,,1-139,1,Fontanería,Fontanería,Fontanería,1
1 - 1  4  0,"CODO en LATÓN Ø 125 3"" M - H",,1    -       -        -  ,,,,,,1-140,1,Fontanería,Fontanería,Fontanería,1
1 - 1  4  1,"CODO en LATÓN Ø 110 3"" M - H",,1    -       -        -  ,,,,,,1-141,1,Fontanería,Fontanería,Fontanería,1
1 - 1  4  2,"CODO en LATÓN Ø 90 3"" M - H",,1    -       -        -  ,,,,,,1-142,1,Fontanería,Fontanería,Fontanería,1
1 - 1  4  3,"CODO en LATÓN Ø 75 3"" M - H",,1    -       -        -  ,,,,,,1-143,1,Fontanería,Fontanería,Fontanería,1
1 - 1  4  4,"CODO en LATÓN Ø 63 3"" M - H",,1    -       -        -  ,,,,,,1-144,1,Fontanería,Fontanería,Fontanería,1
1 - 1  4  5,"CODO en LATÓN Ø 50 3"" M - H",,1    -       -        -  ,,,,,,1-145,1,Fontanería,Fontanería,Fontanería,1
1 - 1  4  6,"CODO en LATÓN Ø 40 3"" M - H",,1    -       -        -  ,,,,,,1-146,1,Fontanería,Fontanería,Fontanería,1
1 - 1  4  7,"CODO en LATÓN Ø 32 3"" M - H",,1    -       -        -  ,,,,,,1-147,1,Fontanería,Fontanería,Fontanería,1
1 - 1  4  8,"CODO en LATÓN Ø 125 2 1/2"" M - H",,1    -       -        -  ,,,,,,1-148,1,Fontanería,Fontanería,Fontanería,1
1 - 1  4  9,"CODO en LATÓN Ø 110 2 1/2"" M - H",,1    -       -        -  ,,,,,,1-149,1,Fontanería,Fontanería,Fontanería,1
1 - 1  5  0,"CODO en LATÓN Ø 90 2 1/2"" M - H",,1    -       -        -  ,,,,,,1-150,1,Fontanería,Fontanería,Fontanería,1
1 - 1  5  1,"CODO en LATÓN Ø 75 2 1/2"" M - H",,1    -       -        -  ,,,,,,1-151,1,Fontanería,Fontanería,Fontanería,1
1 - 1  5  2,"CODO en LATÓN Ø 63 2 1/2"" M - H",,1    -       -        -  ,,,,,,1-152,1,Fontanería,Fontanería,Fontanería,1
1 - 1  5  3,"CODO en LATÓN Ø 50 2 1/2"" M - H",,1    -       -        -  ,,,,,,1-153,1,Fontanería,Fontanería,Fontanería,1
1 - 1  5  4,"CODO en LATÓN Ø 40 2 1/2"" M - H",,1    -       -        -  ,,,,,,1-154,1,Fontanería,Fontanería,Fontanería,1
1 - 1  5  5,"CODO en LATÓN Ø 32 2 1/2"" M - H",,1    -       -        -  ,,,,,,1-155,1,Fontanería,Fontanería,Fontanería,1
1 - 1  5  6,"CODO en LATÓN Ø 125 2"" M - H",,1    -       -        -  ,,,,,,1-156,1,Fontanería,Fontanería,Fontanería,1
1 - 1  5  7,"CODO en LATÓN Ø 110 2"" M - H",,1    -       -        -  ,,,,,,1-157,1,Fontanería,Fontanería,Fontanería,1
1 - 1  5  8,"CODO en LATÓN Ø 90 2"" M - H",,1    -       -        -  ,,,,,,1-158,1,Fontanería,Fontanería,Fontanería,1
1 - 1  5  9,"CODO en LATÓN Ø 75 2"" M - H",,1    -       -        -  ,,,,,,1-159,1,Fontanería,Fontanería,Fontanería,1
1 - 1  6  0,"CODO en LATÓN Ø 63 2"" M - H",,1    -       -        -  ,,,,,,1-160,1,Fontanería,Fontanería,Fontanería,1
1 - 1  6  1,"CODO en LATÓN Ø 50 2"" M - H",,1    -       -        -  ,,,,,,1-161,1,Fontanería,Fontanería,Fontanería,1
1 - 1  6  2,"CODO en LATÓN Ø 40 2"" M - H",,1    -       -        -  ,,,,,,1-162,1,Fontanería,Fontanería,Fontanería,1
1 - 1  6  3,"CODO en LATÓN Ø 32 2"" M - H",,1    -       -        -  ,,,,,,1-163,1,Fontanería,Fontanería,Fontanería,1
1 - 1  6  4,"CODO en LATÓN Ø 125 1 1/2"" M - H",,1    -       -        -  ,,,,,,1-164,1,Fontanería,Fontanería,Fontanería,1
1 - 1  6  5,"CODO en LATÓN Ø 110 1 1/2"" M - H",,1    -       -        -  ,,,,,,1-165,1,Fontanería,Fontanería,Fontanería,1
1 - 1  6  6,"CODO en LATÓN Ø 90 1 1/2"" M - H",,1    -       -        -  ,,,,,,1-166,1,Fontanería,Fontanería,Fontanería,1
1 - 1  6  7,"CODO en LATÓN Ø 75 1 1/2"" M - H",,1    -       -        -  ,,,,,,1-167,1,Fontanería,Fontanería,Fontanería,1
1 - 1  6  8,"CODO en LATÓN Ø 63 1 1/2"" M - H",,1    -       -        -  ,,,,,,1-168,1,Fontanería,Fontanería,Fontanería,1
1 - 1  6  9,"CODO en LATÓN Ø 50 1 1/2"" M - H",,1    -       -        -  ,,,,,,1-169,1,Fontanería,Fontanería,Fontanería,1
1 - 1  7  0,"CODO en LATÓN Ø 40 1 1/2"" M - H",,1    -       -        -  ,,,,,,1-170,1,Fontanería,Fontanería,Fontanería,1
1 - 1  7  1,"CODO en LATÓN Ø 32 1 1/2"" M - H",,1    -       -        -  ,,,,,,1-171,1,Fontanería,Fontanería,Fontanería,1
1 - 1  7  2,"CODO en LATÓN Ø 125 1 1/4"" M - H",,1    -       -        -  ,,,,,,1-172,1,Fontanería,Fontanería,Fontanería,1
1 - 1  7  3,"CODO en LATÓN Ø 110 1 1/4"" M - H",,1    -       -        -  ,,,,,,1-173,1,Fontanería,Fontanería,Fontanería,1
1 - 1  7  4,"CODO en LATÓN Ø 90 1 1/4"" M - H",,1    -       -        -  ,,,,,,1-174,1,Fontanería,Fontanería,Fontanería,1
1 - 1  7  5,"CODO en LATÓN Ø 75 1 1/4"" M - H",,1    -       -        -  ,,,,,,1-175,1,Fontanería,Fontanería,Fontanería,1
1 - 1  7  6,"CODO en LATÓN Ø 63 1 1/4"" M - H",,1    -       -        -  ,,,,,,1-176,1,Fontanería,Fontanería,Fontanería,1
1 - 1  7  7,"CODO en LATÓN Ø 50 1 1/4"" M - H",,1    -       -        -  ,,,,,,1-177,1,Fontanería,Fontanería,Fontanería,1
1 - 1  7  8,"CODO en LATÓN Ø 40 1 1/4"" M - H",,1    -       -        -  ,,,,,,1-178,1,Fontanería,Fontanería,Fontanería,1
1 - 1  7  9,"CODO en LATÓN Ø 32 1 1/4"" M - H",,1    -       -        -  ,,,,,,1-179,1,Fontanería,Fontanería,Fontanería,1
1 - 1  8  0,"CODO en LATÓN Ø 125 1"" M - H",,1    -       -        -  ,,,,,,1-180,1,Fontanería,Fontanería,Fontanería,1
