code,DESCRIPCION,STOCK,location_id,Parent_location_id,CATEGORIA,COD.PROV,PRECIO,PROVEEDOR,code_ok,Codigo Categoria,Almacén,,categoria,alamcen,unidades,
1 - 0  3  3,INJERTO en PVC Evacuación Ø 50 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-033,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  3  4,INJERTO en PVC Evacuación Ø 40 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-034,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  3  5,INJERTO en PVC Evacuación Ø 32 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-035,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  3  6,CODO en PVC Evacuación Ø 125 x 87º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-036,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  3  7,CODO en PVC Evacuación Ø 110 x 87º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-037,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  3  8,CODO en PVC Evacuación Ø 90 x 87º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-038,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  3  9,CODO en PVC Evacuación Ø 75 x 87º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-039,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  4  0,CODO en PVC Evacuación Ø 63 x 87º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-040,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  4  1,CODO en PVC Evacuación Ø 50 x 87º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-041,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  4  2,CODO en PVC Evacuación Ø 40 x 87º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-042,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  4  3,CODO en PVC Evacuación Ø 32 x 87º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-043,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  4  4,CODO en PVC Evacuación Ø 125 x 67º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-044,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  4  5,CODO en PVC Evacuación Ø 110 x 67º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-045,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  4  6,CODO en PVC Evacuación Ø 90 x 67º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-046,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  4  7,CODO en PVC Evacuación Ø 75 x 67º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-047,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  4  8,CODO en PVC Evacuación Ø 63 x 67º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-048,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  4  9,CODO en PVC Evacuación Ø 50 x 67º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-049,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  5  0,CODO en PVC Evacuación Ø 40 x 67º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-050,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  5  1,CODO en PVC Evacuación Ø 32 x 67º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-051,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  5  2,CODO en PVC Evacuación Ø 125 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-052,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  5  3,CODO en PVC Evacuación Ø 110 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-053,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  5  4,CODO en PVC Evacuación Ø 90 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-054,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  5  5,CODO en PVC Evacuación Ø 75 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-055,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  5  6,CODO en PVC Evacuación Ø 63 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-056,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  5  7,CODO en PVC Evacuación Ø 50 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-057,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  5  8,CODO en PVC Evacuación Ø 40 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-058,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  5  9,CODO en PVC Evacuación Ø 32 x 45º,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-059,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  6  0,MANGUITO en PVC Evacuación Ø 125,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-060,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  6  1,MANGUITO en PVC Evacuación Ø 110,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-061,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  6  2,MANGUITO en PVC Evacuación Ø 90,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-062,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  6  3,MANGUITO en PVC Evacuación Ø 75,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-063,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  6  4,MANGUITO en PVC Evacuación Ø 63,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-064,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  6  5,MANGUITO en PVC Evacuación Ø 50,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-065,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  6  6,MANGUITO en PVC Evacuación Ø 40,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-066,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  6  7,MANGUITO en PVC Evacuación Ø 32,,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-067,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  6  8,"CODO en LATÓN Ø 125 3"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-068,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  6  9,"CODO en LATÓN Ø 110 3"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-069,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  7  0,"CODO en LATÓN Ø 90 3"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-070,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  7  1,"CODO en LATÓN Ø 75 3"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-071,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  7  2,"CODO en LATÓN Ø 63 3"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-072,1,Fontanería,FONTANERIA,FONTANERIA,1,,
